tensor(12378., dtype=torch.float64)
epoch [162/200], loss:1.6995 Accuracy: 32361/50000
epoch [163/200], loss:1.7008 Accuracy: 32206/50000
epoch [164/200], loss:1.6943 Accuracy: 32213/50000
epoch [165/200], loss:1.7003 Accuracy: 32081/50000
epoch [166/200], loss:1.7024 Accuracy: 32180/50000
epoch [167/200], loss:1.6955 Accuracy: 32215/50000
epoch [168/200], loss:1.6950 Accuracy: 32307/50000
epoch [169/200], loss:1.6985 Accuracy: 32170/50000
epoch [170/200], loss:1.6986 Accuracy: 32222/50000
epoch [171/200], loss:1.6989 Accuracy: 32236/50000
epoch [172/200], loss:1.6968 Accuracy: 32084/50000
epoch [173/200], loss:1.6930 Accuracy: 32038/50000
epoch [174/200], loss:1.6973 Accuracy: 31936/50000
epoch [175/200], loss:1.6938 Accuracy: 32157/50000
epoch [176/200], loss:1.6955 Accuracy: 32226/50000
epoch [177/200], loss:1.6960 Accuracy: 32055/50000
epoch [178/200], loss:1.6915 Accuracy: 32224/50000
epoch [179/200], loss:1.6984 Accuracy: 32218/50000
epoch [180/200], loss:1.6949 Accuracy: 32328/50000
epoch [181/200], loss:1.7001 Accuracy: 32190/50000
epoch [182/200], loss:1.6927 Accuracy: 32132/50000
epoch [183/200], loss:1.6950 Accuracy: 31912/50000
epoch [184/200], loss:1.6947 Accuracy: 31777/50000
epoch [185/200], loss:1.6915 Accuracy: 31994/50000
epoch [186/200], loss:1.6882 Accuracy: 32242/50000
epoch [187/200], loss:1.6998 Accuracy: 32137/50000
epoch [188/200], loss:1.6983 Accuracy: 31956/50000
epoch [189/200], loss:1.6912 Accuracy: 32308/50000
epoch [190/200], loss:1.6878 Accuracy: 32358/50000
epoch [191/200], loss:1.6958 Accuracy: 31865/50000
epoch [192/200], loss:1.6934 Accuracy: 32098/50000
epoch [193/200], loss:1.6875 Accuracy: 32140/50000
epoch [194/200], loss:1.6869 Accuracy: 32210/50000
epoch [195/200], loss:1.6980 Accuracy: 31926/50000
epoch [196/200], loss:1.6889 Accuracy: 32188/50000
epoch [197/200], loss:1.6834 Accuracy: 32282/50000
epoch [198/200], loss:1.6900 Accuracy: 32104/50000
epoch [199/200], loss:1.6938 Accuracy: 32194/50000
epoch [200/200], loss:1.6978 Accuracy: 32342/50000
average correct: 32988.145
average loss: 1.7323703142257687
